,X.ZTIME,LON,LAT,WSR_ID,CELL_ID,RANGE,AZIMUTH,SEVPROB,PROB,MAXSIZE
4891,2.0150103122e+13,-77.37532,38.99356,KIAD,I2,9,127,0,10,0.5
4904,2.01501031223e+13,-77.36288,38.97891,KIAD,I2,10,129,0,10,0.5
4905,2.01501031223e+13,-77.343,39.045,KIAD,M2,9,105,0,10,0.5
4924,2.01501031226e+13,-77.34768,38.99547,KIAD,I2,10,122,0,10,0.5
4925,2.01501031226e+13,-77.3622,39.05386,KIAD,M2,8,103,0,10,0.5
4944,2.01501031229e+13,-77.30169,39.03629,KIAD,R2,11,105,0,10,0.5
4946,2.01501031229e+13,-77.31147,38.97773,KIAD,I2,12,122,0,20,0.5
4967,2.01501031232e+13,-77.27254,38.96345,KIAD,I2,14,121,0,20,0.5
4980,2.01501031235e+13,-77.37526,38.96803,KIAD,Z2,10,134,0,20,0.5
5010,2.01501031238e+13,-77.26021,38.94742,KIAD,I2,15,123,0,20,0.5
5028,2.01501031241e+13,-77.27809,38.95655,KIAD,I2,14,123,0,20,0.5
5045,2.01501031244e+13,-77.24334,38.97006,KIAD,I2,15,117,0,20,0.5
5061,2.01501031245e+13,-77.05638,39.06015,KBWI,D1,20,265,0,10,0.5
5068,2.01501031247e+13,-77.25557,38.9887,KIAD,I2,14,114,0,20,0.5
5077,2.01501031248e+13,-77.08435,38.99414,KBWI,H1,22,255,0,30,0.5
5080,2.0150103125e+13,-77.31492,39.0838,KIAD,K3,10,90,0,10,0.5
5081,2.0150103125e+13,-77.36403,39.00657,KIAD,F3,9,121,0,30,0.5
5082,2.0150103125e+13,-77.20755,38.99228,KIAD,I2,16,110,0,40,0.5
5104,2.01501031251e+13,-77.08435,38.99414,KBWI,H1,22,255,0,20,0.5
5111,2.01501031253e+13,-77.19554,39.02349,KIAD,I2,16,103,0,20,0.5
5116,2.01501031254e+13,-77.10716,38.99621,KBWI,H1,23,256,0,30,0.5
5126,2.01501031256e+13,-77.18648,39.0835,KIAD,R3,16,90,0,50,0.5
5138,2.01501031257e+13,-77.06572,39.00445,KBWI,H1,21,256,0,20,0.5
5140,2.01501031257e+13,-77.12221,39.10235,KBWI,V1,23,272,0,40,0.5
5141,2.01501031259e+13,-76.92038,38.99011,KIAD,S3,29,101,0,20,0.5
5150,2.015010313e+13,-77.04677,39.01421,KBWI,H1,20,257,0,10,0.5
5151,2.015010313e+13,-76.98819,38.90776,KBWI,B2,20,237,0,10,0.5
5153,2.015010313e+13,-77.09558,39.14648,KBWI,V1,22,279,0,30,0.5
5156,2.01501031302e+13,-76.95148,39.06685,KIAD,V3,27,92,0,20,0.5
5973,2.01501031621e+13,-77.38757,38.93738,KIAD,R2,11,143,0,20,0.5
6004,2.01501031626e+13,-77.3868,38.92827,KADW,N9,29,299,0,30,0.5
6014,2.01501031627e+13,-77.38829,38.98153,KIAD,G3,9,133,0,20,0.5
6016,2.01501031627e+13,-77.39422,38.93363,KIAD,R2,11,145,0,30,0.5
6018,2.01501031628e+13,-77.37184,38.99921,KDCA,W0,24,307,0,10,0.5
6034,2.01501031629e+13,-77.38153,38.93564,KADW,N9,29,300,0,30,0.5
6039,2.0150103163e+13,-77.36279,38.95414,KIAD,G3,11,135,0,30,0.5
6040,2.0150103163e+13,-77.25997,39.13981,KIAD,Q3,13,75,0,40,0.5
6045,2.01501031631e+13,-77.33876,39.005,KDCA,W0,23,310,0,10,0.5
6049,2.01501031632e+13,-77.33517,38.96187,KADW,N9,28,305,0,30,0.5
6064,2.01501031633e+13,-77.2271,38.95832,KIAD,T3,16,118,0,30,0.5
6066,2.01501031633e+13,-77.31388,38.97479,KIAD,U3,12,123,0,50,0.5
6069,2.01501031635e+13,-77.26595,38.95098,KADW,N9,25,308,0,20,0.5
6076,2.01501031636e+13,-77.17332,39.0245,KIAD,E4,17,102,0,30,0.5
6077,2.01501031636e+13,-77.21187,38.98359,KIAD,T3,16,112,0,30,0.5
6078,2.01501031636e+13,-77.2792,38.98868,KIAD,U3,13,116,0,40,0.5
6082,2.01501031637e+13,-77.19433,38.90573,KDCA,O0,14,309,0,10,0.5
6086,2.01501031637e+13,-77.25902,38.97477,KDCA,P0,19,313,0,40,0.5
6087,2.01501031637e+13,-77.29451,38.94031,KDCA,C1,19,305,0,40,0.5
6103,2.01501031638e+13,-77.2163,38.99438,KADW,F0,25,316,0,10,0.5
6105,2.01501031638e+13,-77.27159,38.94519,KADW,N9,25,307,0,20,0.5
6109,2.01501031639e+13,-77.13384,39.01253,KBWI,O1,24,259,0,50,0.5
6110,2.01501031639e+13,-77.19695,39.01896,KIAD,T3,16,104,0,20,0.5
6112,2.0150103164e+13,-77.16525,38.99391,KDCA,P0,17,326,0,10,0.5
6113,2.0150103164e+13,-77.15821,38.93508,KDCA,O0,14,319,0,10,0.5
6114,2.0150103164e+13,-77.26089,38.94757,KDCA,C1,18,309,0,10,0.5
6118,2.01501031641e+13,-76.93451,39.1905,KADW,N0,30,352,0,30,0.5
6122,2.01501031642e+13,-77.13002,38.99888,KBWI,O1,24,257,0,40,0.5
6125,2.01501031642e+13,-77.13308,39.01204,KIAD,T3,19,103,0,50,0.5
6138,2.01501031643e+13,-77.0039,39.2249,KDCA,G2,28,356,0,10,0.5
6139,2.01501031643e+13,-77.14127,38.96629,KDCA,O0,15,326,0,10,0.5
6140,2.01501031643e+13,-77.042,38.91363,KDCA,V1,10,338,0,10,0.5
6141,2.01501031643e+13,-77.20373,38.94747,KDCA,C1,16,315,0,20,0.5
6142,2.01501031643e+13,-76.98433,38.92489,KDCA,E2,10,354,0,20,0.5
6151,2.01501031646e+13,-77.10116,39.00273,KDCA,O0,16,336,0,10,0.5
6152,2.01501031646e+13,-77.13358,38.95017,KDCA,C1,14,325,0,10,0.5
6156,2.01501031646e+13,-76.962,38.95916,KDCA,E2,12,360,0,20,0.5
6171,2.01501031647e+13,-76.957,38.91147,KADW,Q0,14,338,0,10,0.5
6175,2.01501031648e+13,-76.90295,38.92907,KBWI,J2,16,233,0,20,0.5
6182,2.01501031649e+13,-76.97879,39.00886,KDCA,E2,15,357,0,10,0.5
6183,2.01501031649e+13,-76.93227,38.92418,KDCA,Q2,10,8,0,10,0.5
6202,2.01501031651e+13,-76.96195,38.97419,KBWI,L2,17,246,0,20,0.5
6214,2.01501031652e+13,-76.93962,39.00859,KDCA,E2,15,4,0,20,0.5
6216,2.01501031652e+13,-77.13676,38.90526,KDCA,S9,12,317,0,30,0.5
6229,2.01501031654e+13,-76.92799,39.06521,KBWI,C2,14,264,0,20,0.5
6238,2.01501031655e+13,-76.93404,39.00825,KDCA,E2,15,5,0,20,0.5
6258,2.01501031656e+13,-77.02411,38.90229,KADW,B2,15,326,0,30,0.5
6263,2.01501031657e+13,-76.92296,38.98787,KBWI,D3,15,246,0,10,0.5
40814,2.01501240238e+13,-77.36423,38.93055,KIAD,N9,12,140,0,10,0.5
40823,2.01501240241e+13,-77.34148,38.94734,KIAD,N9,12,133,0,20,0.5
40826,2.01501240244e+13,-77.33826,39.06295,KIAD,Q0,9,98,0,20,0.5
40833,2.01501240247e+13,-77.27359,39.0628,KIAD,A1,12,96,0,20,0.5
44285,2.0150129214e+13,-77.01364,38.96474,KADW,I1,18,334,0,10,0.5
44287,2.01501292143e+13,-77.10625,39.03729,KDCA,Z0,18,338,0,10,0.5
44288,2.01501292144e+13,-76.99702,39.00841,KLWX,I1,23,85,0,20,0.5
44289,2.01501292149e+13,-76.92174,39.06827,KLWX,I1,27,78,0,10,0.5
69263,2.01503012048e+13,-77.33244,39.17606,KLWX,G2,14,31,0,10,0.5
69271,2.01503012054e+13,-77.2048,39.18042,KLWX,G2,18,47,0,10,0.5
69274,2.01503012058e+13,-76.95453,39.09255,KDCA,W2,20,1,0,10,0.5
69341,2.01503012152e+13,-77.23382,38.99421,KDCA,K4,19,318,0,10,0.5
69379,2.01503012222e+13,-77.2747,38.9861,KDCA,J5,20,313,0,10,0.5
69386,2.01503012228e+13,-77.21945,39.02515,KDCA,J5,20,323,0,10,0.5
69387,2.01503012228e+13,-77.25415,38.97879,KDCA,X5,19,314,0,10,0.5
69399,2.01503012234e+13,-76.99932,39.09133,KDCA,A6,20,355,0,10,0.5
518432,2.01504100256e+13,-77.34098,39.19883,KLWX,I4,15,27,0,10,0.5
518683,2.01504100301e+13,-76.9835,39.25923,KLWX,Z5,29,54,0,10,0.5
519661,2.01504100318e+13,-76.94194,39.27131,KLWX,P5,31,55,0,10,0.5
519662,2.01504100318e+13,-77.39066,39.16154,KLWX,P4,12,22,0,30,0.5
519685,2.01504100318e+13,-77.39424,39.14912,KCCX,B9,110,165,0,10,0.5
519686,2.01504100318e+13,-76.9228,39.26823,KCCX,A1,111,153,0,10,0.5
519770,2.01504100319e+13,-76.92265,39.25899,KDOX,B0,74,291,0,10,0.5
519955,2.01504100323e+13,-77.31502,39.16632,KCCX,B9,110,163,0,20,0.5
520213,2.01504100329e+13,-77.36924,39.17246,KLWX,F6,13,25,0,10,0.5
520224,2.01504100329e+13,-76.9286,39.19284,KDOX,E0,73,288,0,10,0.5
520431,2.01504100333e+13,-77.3192,39.16947,KLWX,F6,14,34,0,10,0.5
520673,2.01504100338e+13,-77.26199,39.1772,KLWX,F6,16,41,0,30,0.5
520771,2.0150410034e+13,-77.08862,39.18224,KDOX,A0,80,286,0,10,0.5
520784,2.0150410034e+13,-77.27569,39.17571,KCCX,X0,110,162,0,10,0.5
520911,2.01504100342e+13,-77.2048,39.18042,KLWX,F6,18,47,0,10,0.5
521022,2.01504100345e+13,-77.01042,39.18155,KCCX,K1,114,156,0,10,0.5
521023,2.01504100345e+13,-77.18338,39.16457,KCCX,X0,112,160,0,10,0.5
521135,2.01504100346e+13,-77.15378,39.18546,KLWX,F6,20,51,0,20,0.5
521136,2.01504100346e+13,-76.98068,39.19324,KLWX,P4,27,61,0,30,0.5
521343,2.0150410035e+13,-77.14402,39.1757,KCCX,X0,112,159,0,30,0.5
521345,2.0150410035e+13,-76.95378,39.16456,KCCX,K1,116,155,0,50,0.5
521544,2.01504100354e+13,-77.06036,39.19907,KLWX,F6,24,56,0,20,0.5
801625,2.01504180009e+13,-76.91203,39.03181,KIAD,C0,29,96,0,30,0.5
801716,2.0150418001e+13,-76.91437,39.02328,KDCA,Z0,16,8,0,10,0.5
905476,2.01504200001e+13,-77.14063,38.90821,KIAD,V1,21,120,50,90,1.0
942365,2.01504201956e+13,-77.36842,38.90633,KDCA,H0,21,295,0,10,0.5
942673,2.01504202004e+13,-77.29353,38.95898,KBWI,B0,32,256,0,20,0.5
943255,2.01504202019e+13,-77.25104,39.09502,KIAD,N0,13,87,0,10,0.5
943279,2.0150420202e+13,-77.2567,39.08656,KDCA,P0,24,325,0,40,0.5
943410,2.01504202023e+13,-77.26263,39.11356,KDOX,E0,87,282,0,30,0.5
943496,2.01504202025e+13,-77.23368,39.12418,KIAD,N0,14,80,0,10,0.5
943521,2.01504202026e+13,-77.09674,38.90922,KDCA,C0,11,325,0,10,0.5
943522,2.01504202026e+13,-77.23777,39.11612,KDCA,P0,25,329,0,20,0.5
943661,2.0150420203e+13,-77.07857,38.92647,KDOX,C0,77,275,0,20,0.5
943662,2.0150420203e+13,-77.10306,39.13704,KDOX,A0,80,284,0,30,0.5
943727,2.01504202031e+13,-77.10979,39.1526,KIAD,E0,20,78,0,30,0.5
943771,2.01504202032e+13,-77.10067,39.16171,KDCA,N0,25,345,0,50,0.5
943798,2.01504202033e+13,-77.1377,39.16773,KDOX,A0,82,285,0,30,0.5
943875,2.01504202034e+13,-77.1122,39.16877,KBWI,I0,23,282,0,50,0.5
943934,2.01504202036e+13,-77.03376,38.94592,KDOX,C0,75,276,0,10,0.5
943935,2.01504202036e+13,-77.06791,39.17793,KDOX,A0,79,286,0,20,0.5
943983,2.01504202037e+13,-77.01808,38.96096,KIAD,K0,25,107,0,10,0.5
943995,2.01504202038e+13,-77.01968,38.95402,KDCA,C0,12,347,10,30,0.5
944066,2.01504202039e+13,-77.03108,38.96765,KDOX,C0,75,277,0,10,0.5
944126,2.0150420204e+13,-77.00379,38.96557,KBWI,A0,19,247,0,10,0.5
944233,2.01504202043e+13,-76.98526,38.99257,KIAD,K0,26,102,0,10,0.5
944271,2.01504202044e+13,-76.97767,38.9922,KDCA,C0,14,357,10,10,0.5
944410,2.01504202047e+13,-76.95698,38.9996,KADW,B0,19,344,0,20,0.5
944510,2.01504202049e+13,-76.93597,39.01749,KIAD,K0,28,98,0,30,0.5
944520,2.0150420205e+13,-76.93404,39.00825,KDCA,C0,15,5,0,20,0.5
944521,2.0150420205e+13,-77.2683,39.01478,KDCA,M0,21,317,0,20,0.5
944660,2.01504202053e+13,-76.91192,39.02448,KADW,B0,20,351,20,20,0.5
945267,2.01504202105e+13,-76.93712,39.3751,KADW,I0,41,354,0,20,0.5
947285,2.01504202148e+13,-76.92235,38.90169,KAKQ,Y0,115,2,0,50,0.5
947314,2.01504202148e+13,-76.96043,38.90386,KDIX,G0,134,243,-999,-999,-999.0
947405,2.01504202151e+13,-76.91755,38.90416,KLWX,S1,27,99,0,20,0.5
947460,2.01504202152e+13,-76.92294,38.91984,KDIX,G0,132,243,-999,-999,-999.0
947462,2.01504202152e+13,-76.90809,38.9074,KBWI,K0,17,230,10,60,0.5
947483,2.01504202153e+13,-76.90272,38.90709,KADW,Y0,13,348,40,60,0.75
947516,2.01504202153e+13,-76.92082,38.93505,KAKQ,Y0,117,2,0,60,0.5
947543,2.01504202154e+13,-76.90607,38.93713,KDOX,I0,69,276,0,30,0.5
953117,2.01504202357e+13,-77.17851,38.90546,KDIX,F1,143,245,-999,-999,-999.0
953142,2.01504202358e+13,-77.16561,38.90752,KDOX,V2,81,274,60,100,1.0
953170,2.01504202358e+13,-77.13725,38.9125,KBWI,J1,26,246,60,100,1.0
953188,2.01504202359e+13,-77.1471,38.93051,KADW,D4,20,315,80,100,1.5
953218,2.01504202359e+13,-77.13476,38.90687,KLWX,K4,17,104,40,100,1.0
953240,2.0150421e+13,-77.12819,38.93234,KCCX,Z6,126,161,-999,-999,-999.0
953279,2.0150421e+13,-77.13759,38.91685,KAKQ,R3,116,357,50,100,1.0
953308,2.01504210001e+13,-77.12131,38.928,KDIX,F1,140,245,-999,-999,-999.0
953338,2.01504210001e+13,-77.12119,38.92877,KDOX,V2,79,275,60,100,1.0
953429,2.01504210004e+13,-77.08199,38.95319,KLWX,K4,19,94,40,100,1.0
953444,2.01504210004e+13,-77.09833,38.92623,KBWI,J1,24,246,50,90,1.0
953472,2.01504210005e+13,-77.09594,38.95172,KAKQ,R3,118,358,60,100,1.0
953479,2.01504210005e+13,-77.09493,38.94448,KADW,D4,19,322,70,100,1.25
953492,2.01504210005e+13,-77.09762,38.95026,KDOX,V2,78,276,60,100,1.0
953497,2.01504210005e+13,-77.06407,38.9505,KDIX,F1,137,245,-999,-999,-999.0
953506,2.01504210005e+13,-77.09087,38.95998,KCCX,Z6,125,160,-999,-999,-999.0
953589,2.01504210007e+13,-77.08722,38.95766,KIAD,V1,22,110,50,100,0.75
953605,2.01504210008e+13,-77.05702,38.96273,KDCA,B0,13,340,40,70,0.75
953644,2.01504210008e+13,-77.03862,38.99347,KLWX,K4,21,87,60,100,1.25
953663,2.01504210008e+13,-77.04913,38.99138,KDOX,V2,76,278,60,100,1.0
953677,2.01504210009e+13,-77.02885,39.00799,KDIX,F1,134,246,-999,-999,-999.0
953708,2.0150421001e+13,-77.05313,39.00271,KAKQ,R3,121,359,50,100,1.0
953730,2.0150421001e+13,-77.04899,38.96372,KBWI,J1,21,249,60,90,1.0
953752,2.0150421001e+13,-77.01906,39.01642,KCCX,Z6,123,158,70,100,1.0
953767,2.01504210011e+13,-77.04881,38.94945,KADW,N4,18,328,60,90,1.0
953768,2.01504210011e+13,-77.02572,38.99721,KADW,D4,20,335,70,100,1.25
953810,2.01504210012e+13,-77.02425,39.01099,KDOX,V2,75,279,60,100,1.0
953833,2.01504210012e+13,-76.99872,39.02173,KLWX,K4,23,83,40,100,1.0
953835,2.01504210013e+13,-77.02885,39.00799,KDIX,F1,134,246,-999,-999,-999.0
953869,2.01504210013e+13,-77.03116,38.98609,KIAD,V1,24,104,40,80,0.75
953871,2.01504210013e+13,-76.99612,39.04644,KIAD,W2,25,95,50,100,1.0
953880,2.01504210014e+13,-77.00664,39.00676,KDCA,B0,15,352,40,80,0.75
953903,2.01504210014e+13,-76.96172,39.05277,KAKQ,R3,124,1,40,100,0.75
953938,2.01504210016e+13,-76.98458,39.04518,KCCX,Z6,122,157,60,100,0.75
953966,2.01504210016e+13,-76.97334,39.04831,KDOX,V2,73,281,50,100,0.75
953971,2.01504210016e+13,-76.98571,39.0305,KBWI,J1,17,258,30,80,0.75
953986,2.01504210016e+13,-76.97236,39.07115,KDIX,F1,130,247,-999,-999,-999.0
954005,2.01504210017e+13,-77.01958,38.93671,KLWX,E9,22,96,0,60,0.5
954015,2.01504210017e+13,-76.96367,39.06153,KLWX,K4,25,78,30,90,0.75
954025,2.01504210017e+13,-77.03566,38.97468,KADW,N4,19,332,0,60,0.5
954027,2.01504210017e+13,-76.97475,39.04768,KADW,D4,22,344,40,90,0.75
954079,2.01504210019e+13,-76.97581,39.03736,KIAD,V1,26,96,0,30,0.5
954081,2.01504210019e+13,-77.00822,38.98903,KIAD,E3,25,103,0,40,0.5
954086,2.01504210019e+13,-76.951,39.08257,KIAD,W2,27,90,20,80,0.5
954104,2.0150421002e+13,-76.91393,39.08516,KAKQ,R3,126,2,-999,-999,-999.0
954107,2.0150421002e+13,-77.008,38.91958,KAKQ,T4,116,360,0,40,0.5
954123,2.0150421002e+13,-76.99501,38.90061,KDOX,M4,73,274,0,40,0.5
954127,2.0150421002e+13,-76.92102,39.08306,KDOX,V2,71,283,40,90,0.75
954137,2.0150421002e+13,-76.93345,39.08505,KDIX,F1,128,247,-999,-999,-999.0
954162,2.01504210021e+13,-76.91853,39.10372,KCCX,Z6,120,155,40,90,0.5
954181,2.01504210021e+13,-76.97403,38.98186,KLWX,E9,24,89,0,70,0.5
954188,2.01504210021e+13,-76.90791,39.09544,KLWX,K4,28,75,10,90,0.75
954220,2.01504210022e+13,-76.94134,39.02906,KBWI,J1,15,256,20,60,0.5
954221,2.01504210022e+13,-76.9077,39.1048,KBWI,K2,13,274,20,60,0.5
954222,2.01504210022e+13,-76.97788,38.92626,KBWI,L2,19,239,0,60,0.5
954260,2.01504210023e+13,-76.95571,39.01719,KADW,N4,20,345,0,70,0.5
954262,2.01504210023e+13,-76.92201,39.0739,KADW,D4,23,351,20,90,0.5
954275,2.01504210024e+13,-76.95073,38.91947,KDOX,M4,71,275,0,20,0.5
954288,2.01504210024e+13,-76.98399,38.93826,KDIX,I2,134,244,-999,-999,-999.0
954308,2.01504210025e+13,-76.93454,39.02557,KIAD,E3,28,97,0,10,0.5
954310,2.01504210025e+13,-76.951,38.96169,KIAD,G3,28,105,0,20,0.5
954331,2.01504210025e+13,-76.93366,38.93689,KLWX,K9,26,95,0,30,0.5
954373,2.01504210026e+13,-76.93589,38.95255,KCCX,T8,128,157,-999,-999,-999.0
954436,2.01504210028e+13,-76.92735,38.9386,KDOX,M4,70,276,0,30,0.5
954461,2.01504210028e+13,-76.91477,39.01749,KBWI,U1,14,252,0,30,0.5
954464,2.01504210028e+13,-76.93458,38.93517,KBWI,O2,17,237,0,50,0.5
954471,2.01504210029e+13,-76.90717,38.92341,KADW,G4,14,348,0,40,0.5
954582,2.01504210032e+13,-76.90419,38.92783,KDIX,M2,131,243,-999,-999,-999.0
954602,2.01504210032e+13,-76.92779,38.93711,KCCX,T8,129,157,-999,-999,-999.0
959929,2.01504210423e+13,-77.37426,38.96722,KDCA,U4,23,303,0,80,0.5
960103,2.01504210429e+13,-77.3766,38.97362,KADW,E2,30,304,0,40,0.5
960292,2.01504210434e+13,-77.27526,38.99902,KLWX,S6,10,82,0,10,0.5
960334,2.01504210437e+13,-77.24594,38.9662,KIAD,K0,15,118,0,50,0.5
960372,2.01504210438e+13,-77.22761,38.94526,KAKQ,E8,118,355,0,20,0.5
960409,2.01504210438e+13,-77.20926,38.98324,KLWX,S6,13,88,0,30,0.5
960425,2.01504210439e+13,-77.22536,38.95885,KDOX,K3,84,276,0,10,0.5
960478,2.01504210441e+13,-77.22014,38.96742,KADW,E2,24,313,0,40,0.5
960853,2.01504210453e+13,-76.97305,38.94238,KADW,E4,16,338,0,40,0.5
960977,2.01504210457e+13,-76.94262,38.97531,KDCA,U5,13,4,0,20,0.5
960978,2.01504210457e+13,-77.04969,38.94706,KDCA,V5,12,340,0,20,0.5
961012,2.01504210459e+13,-76.93156,38.98752,KADW,E4,18,347,0,10,0.5
961015,2.01504210459e+13,-77.04309,38.95219,KADW,R3,18,329,0,30,0.5
961165,2.01504210505e+13,-76.99619,38.95489,KLWX,Z4,23,93,0,20,0.5
1179519,2.015043e+13,-77.23143,38.97143,KBWI,N0,29,256,0,10,0.5
1179520,2.015043e+13,-77.17543,38.9421,KBWI,Y8,27,251,0,10,0.5
1181400,2.01504301739e+13,-77.07947,39.08925,KIAD,G0,21,89,0,60,0.5
1181428,2.01504301742e+13,-77.09346,39.0939,KDCA,F0,21,343,0,50,0.5
1181580,2.01504301751e+13,-77.10175,39.10649,KIAD,G0,20,86,0,30,0.5
1181671,2.01504301757e+13,-76.9949,39.11187,KIAD,K0,25,86,0,40,0.5
1181672,2.01504301757e+13,-77.14428,39.06765,KIAD,P0,18,93,0,40,0.5
1181868,2.0150430181e+13,-77.1297,39.08792,KLWX,J1,18,68,0,50,0.5
1181907,2.01504301811e+13,-77.10745,39.09599,KADW,C0,27,333,0,80,0.5
1181960,2.01504301815e+13,-77.12272,39.09988,KIAD,K0,19,87,0,40,0.5
1181970,2.01504301815e+13,-77.13225,39.09277,KLWX,J1,18,67,30,60,0.5
1182006,2.01504301817e+13,-77.12524,39.08857,KADW,C0,27,331,40,80,0.5
1182008,2.01504301818e+13,-77.13765,39.08131,KDCA,O0,21,337,20,80,0.5
1182032,2.01504301819e+13,-77.12241,39.08896,KBWI,T0,23,270,0,20,0.5
1182050,2.0150430182e+13,-77.13225,39.09277,KLWX,J1,18,67,20,30,0.5
1182088,2.01504301821e+13,-77.14411,39.09908,KIAD,K0,18,87,10,40,0.5
1182094,2.01504301821e+13,-77.13647,39.09464,KDOX,E0,81,282,0,20,0.5
1182095,2.01504301821e+13,-77.13647,39.09464,KDOX,E0,81,282,0,20,0.5
1182119,2.01504301823e+13,-77.134,39.08467,KADW,C0,27,330,0,40,0.5
1182122,2.01504301824e+13,-77.13765,39.08131,KDCA,O0,21,337,20,50,0.5
1182146,2.01504301825e+13,-77.13491,39.09759,KLWX,J1,18,66,0,30,0.5
1182152,2.01504301825e+13,-77.14382,39.08887,KBWI,T0,24,270,0,30,0.5
1182186,2.01504301826e+13,-77.13647,39.09464,KDOX,E0,81,282,10,60,0.5
1182187,2.01504301826e+13,-77.13647,39.09464,KDOX,E0,81,282,10,60,0.5
1182207,2.01504301827e+13,-77.1077,39.02531,KIAD,B1,20,100,0,10,0.5
1182208,2.01504301827e+13,-77.27645,39.17536,KIAD,N1,13,65,0,20,0.5
1182210,2.01504301827e+13,-77.14449,39.10431,KIAD,K0,18,86,10,50,0.5
1182241,2.01504301829e+13,-77.13767,39.10236,KLWX,J1,18,65,20,30,0.5
1182248,2.01504301829e+13,-77.15376,39.09493,KADW,C0,28,329,20,80,0.5
1182250,2.0150430183e+13,-77.13609,39.06363,KDCA,O0,20,336,0,30,0.5
1182252,2.0150430183e+13,-77.12238,39.12163,KDCA,Z0,23,341,20,60,0.5
1182277,2.01504301831e+13,-77.1438,39.09585,KBWI,T0,24,271,0,60,0.5
1182280,2.01504301831e+13,-77.13647,39.09464,KDOX,E0,81,282,0,20,0.5
1182281,2.01504301831e+13,-77.13647,39.09464,KDOX,E0,81,282,0,20,0.5
1182313,2.01504301833e+13,-77.28762,39.19217,KIAD,N1,13,60,0,20,0.5
1182315,2.01504301833e+13,-77.10265,39.05415,KIAD,B1,20,95,0,30,0.5
1182317,2.01504301833e+13,-77.1456,39.11475,KIAD,K0,18,84,10,50,0.5
1182334,2.01504301834e+13,-77.1545,39.09086,KLWX,J1,17,66,0,20,0.5
1182358,2.01504301835e+13,-77.14268,39.08066,KADW,C0,27,329,0,30,0.5
1182363,2.01504301836e+13,-77.1143,39.05275,KDCA,O0,19,338,20,40,0.5
1182372,2.01504301836e+13,-77.13647,39.09464,KDOX,E0,81,282,0,10,0.5
1182373,2.01504301836e+13,-77.13647,39.09464,KDOX,E0,81,282,0,10,0.5
1182413,2.01504301839e+13,-77.1545,39.09086,KLWX,J1,17,66,10,30,0.5
1182423,2.01504301839e+13,-77.14449,39.10431,KIAD,K0,18,86,10,40,0.5
1182459,2.01504301841e+13,-77.14268,39.08066,KADW,C0,27,329,10,60,0.5
1182464,2.01504301841e+13,-77.14484,39.07886,KDCA,O0,21,336,10,40,0.5
1182495,2.01504301843e+13,-77.17409,39.08413,KLWX,J1,16,66,0,40,0.5
1182521,2.01504301845e+13,-77.14384,39.09384,KIAD,K0,18,88,0,30,0.5
1182557,2.01504301847e+13,-77.15126,39.07653,KADW,C0,27,328,20,80,0.5
1182559,2.01504301847e+13,-77.16606,39.07093,KDCA,O0,21,333,20,50,0.5
1182569,2.01504301848e+13,-77.17172,39.07985,KLWX,J1,16,67,0,40,0.5
1182577,2.01504301849e+13,-77.3138,39.23046,KBWI,B1,33,285,0,30,0.5
1182611,2.01504301851e+13,-77.30537,39.26376,KIAD,N1,15,44,0,10,0.5
1182612,2.01504301851e+13,-77.1651,39.08838,KIAD,K0,17,89,10,30,0.5
1182633,2.01504301853e+13,-77.18017,39.08172,KADW,C0,28,326,0,20,0.5
1182636,2.01504301853e+13,-77.32426,39.26758,KADW,S0,41,327,0,50,0.5
1182639,2.01504301853e+13,-77.31572,39.25448,KDCA,V0,34,331,0,10,0.5
1182640,2.01504301853e+13,-77.17301,39.06809,KDCA,O0,21,332,0,30,0.5
1182683,2.01504301857e+13,-77.32203,39.27547,KIAD,N1,15,40,0,10,0.5
1182723,2.01504301859e+13,-77.19746,39.07656,KDCA,O0,22,330,0,60,0.5
1182790,2.01504301903e+13,-77.34428,39.2888,KIAD,N1,15,35,0,10,0.5
1183060,2.01504301919e+13,-77.35623,39.33876,KBWI,K2,37,294,0,60,0.5
1183093,2.01504301921e+13,-77.36552,39.35598,KIAD,M3,18,25,0,10,0.5
1183128,2.01504301923e+13,-77.36874,39.34453,KADW,S0,46,328,0,60,0.5
1183133,2.01504301923e+13,-77.37865,39.34181,KDCA,V0,40,331,0,40,0.5
1183145,2.01504301925e+13,-77.37593,39.34542,KBWI,K2,38,294,0,20,0.5
1183184,2.01504301927e+13,-77.37785,39.36026,KIAD,M3,18,23,0,20,0.5
1183611,2.01504301959e+13,-77.01634,38.90148,KDOX,S0,74,274,10,70,0.5
1183612,2.01504301959e+13,-77.01634,38.90148,KDOX,S0,74,274,10,70,0.5
1183615,2.01504301959e+13,-77.01945,38.90471,KADW,B3,15,327,10,40,0.5
1183621,2.01504301959e+13,-77.02457,38.90093,KDCA,F3,9,341,0,20,0.5
1183642,2.01504302001e+13,-77.01028,38.90376,KBWI,I3,21,238,10,70,0.5
1183672,2.01504302003e+13,-77.02179,38.9065,KIAD,C5,26,114,10,40,0.5
1183702,2.01504302005e+13,-77.03608,38.9161,KADW,B3,16,326,10,30,0.5
1183707,2.01504302005e+13,-77.03505,38.91572,KDCA,F3,10,340,0,30,0.5
1183718,2.01504302007e+13,-77.03685,38.90581,KBWI,I3,22,240,0,40,0.5
1183754,2.01504302009e+13,-77.03595,38.92415,KDOX,V0,75,275,10,40,0.5
