,X.ZTIME,LON,LAT,WSR_ID,CELL_ID,RANGE,AZIMUTH,SEVPROB,PROB,MAXSIZE
4207791,2.01506190539e+13,-77.31504,38.93789,KAKQ,B2,118,353,0,20,0.5
4207800,2.01506190539e+13,-77.08856,39.11084,KDOX,C5,79,283,0,20,0.5
4207862,2.01506190542e+13,-77.27636,38.90036,KDCA,O1,17,300,0,10,0.5
4207863,2.01506190542e+13,-77.06558,39.08265,KDCA,J0,20,346,0,20,0.5
4207930,2.01506190543e+13,-77.05504,39.08615,KAKQ,C9,126,359,-999,-999,-999.0
4207932,2.01506190543e+13,-77.26908,38.92529,KAKQ,B2,117,354,0,30,0.5
4207981,2.01506190544e+13,-77.03663,39.08296,KIAD,Y0,23,90,0,10,0.5
4208084,2.01506190547e+13,-77.008,39.06979,KAKQ,C9,125,0,-999,-999,-999.0
4208112,2.01506190547e+13,-77.00451,39.07418,KDCA,J0,19,354,0,10,0.5
4208187,2.01506190549e+13,-76.99271,39.06062,KCCX,C0,121,157,0,60,0.5
4208218,2.0150619055e+13,-77.06151,38.96451,KIAD,L2,23,108,0,10,0.5
4208232,2.01506190551e+13,-76.96134,39.06946,KAKQ,C9,125,1,-999,-999,-999.0
4208237,2.01506190551e+13,-77.05236,38.96934,KAKQ,W2,119,359,0,40,0.5
4208254,2.01506190551e+13,-77.04804,38.96929,KADW,F9,19,330,0,10,0.5
4208339,2.01506190553e+13,-76.95152,39.22597,KDCA,L0,28,1,0,20,0.5
4208389,2.01506190554e+13,-76.91469,39.06848,KAKQ,C9,125,2,-999,-999,-999.0
4208398,2.01506190554e+13,-77.008,38.96965,KAKQ,W2,119,360,0,60,0.5
4209520,2.01506190624e+13,-77.10284,39.10184,KAKQ,M9,127,358,-999,-999,-999.0
4260899,2.01506200000e+13,-76.92959,39.08246,KIAD,M1,28,90,0,60,0.5
4261104,2.01506200002e+13,-77.28193,38.95368,KDCA,V6,19,308,0,40,0.5
4261105,2.01506200002e+13,-77.33363,39.10341,KDCA,D7,27,320,0,60,0.5
4261106,2.01506200002e+13,-77.37865,39.34181,KDCA,Y1,40,331,0,90,0.5
4299022,2.01506201932e+13,-77.26385,39.21934,KDCA,B0,31,333,0,60,0.5
4299065,2.01506201932e+13,-77.25017,39.21726,KCCX,Q4,108,161,0,10,0.5
4299254,2.01506201935e+13,-77.26629,39.24584,KDOX,I0,89,287,0,50,0.5
4299411,2.01506201937e+13,-77.25846,39.24799,KIAD,D0,16,52,0,10,0.5
4299440,2.01506201937e+13,-77.25698,39.23308,KCCX,Q4,107,161,0,40,0.5
4300204,2.01506201947e+13,-77.27742,39.28055,KCCX,Q4,104,161,0,20,0.5
4300688,2.01506201952e+13,-77.24059,39.29042,KCCX,Q4,104,160,0,30,0.5
4317716,2.01506202232e+13,-77.06131,39.12955,KDOX,H5,78,284,0,20,0.5
4317884,2.01506202233e+13,-77.07363,39.1252,KCCX,J4,116,158,0,20,0.5
4318167,2.01506202237e+13,-77.05451,39.15163,KDOX,H5,78,285,0,20,0.5
4320105,2.01506202254e+13,-77.27376,39.06366,KDOX,X4,87,280,0,20,0.5
4320482,2.01506202258e+13,-77.25087,39.08835,KBWI,W2,29,270,0,30,0.5
4320589,2.01506202259e+13,-77.2416,39.11042,KDOX,X4,86,282,0,20,0.5
4321525,2.01506202307e+13,-77.24174,39.18777,KDOX,X4,87,285,0,20,0.5
4321662,2.01506202308e+13,-77.24375,39.17104,KDCA,B2,28,332,0,30,0.5
4321913,2.01506202310e+13,-77.24337,39.20144,KCCX,L6,109,161,0,40,0.5
4322081,2.01506202312e+13,-77.25828,39.21125,KAKQ,G9,134,355,-999,-999,-999.0
4322787,2.01506202319e+13,-77.04516,38.90676,KIAD,M1,25,115,30,100,1.0
4322874,2.01506202319e+13,-77.02431,38.91136,KLWX,U8,22,100,20,80,1.0
4323017,2.0150620232e+13,-77.03595,38.92415,KDOX,J3,75,275,40,100,1.0
4323115,2.01506202321e+13,-77.008,38.90289,KAKQ,T5,115,360,40,100,1.0
4323144,2.01506202322e+13,-77.0144,38.90896,KBWI,J2,21,239,10,90,0.75
4323165,2.01506202322e+13,-77.37797,39.24334,KFCX,V7,191,45,-999,-999,-999.0
4323213,2.01506202323e+13,-77.04073,38.91502,KDIX,N3,137,244,-999,-999,-999.0
4323416,2.01506202325e+13,-77.0271,38.9403,KIAD,M1,25,110,0,80,0.5
4323436,2.01506202325e+13,-77.01248,38.94446,KDOX,J3,74,276,10,90,0.5
4323534,2.01506202326e+13,-77.008,38.93627,KAKQ,T5,117,360,30,90,0.75
4323593,2.01506202326e+13,-76.99676,38.94821,KLWX,U8,23,94,0,80,0.75
4323709,2.01506202327e+13,-77.00291,38.93052,KDIX,N3,135,244,-999,-999,-999.0
4323711,2.01506202327e+13,-77.04802,39.36856,KDIX,E4,127,255,-999,-999,-999.0
4323769,2.01506202328e+13,-76.98841,38.94067,KBWI,J2,19,242,10,90,0.75
4323897,2.01506202329e+13,-76.98857,38.96416,KDOX,J3,73,277,20,90,0.75
4324008,2.0150620233e+13,-77.008,38.95296,KAKQ,T5,118,360,30,100,0.75
4324085,2.01506202331e+13,-76.99487,38.96324,KIAD,M1,26,106,0,80,0.5
4324104,2.01506202331e+13,-76.97413,38.96789,KLWX,U8,24,91,0,90,0.75
