Site_Serve,the_geom,Activity,Event_Date,LONG,LAT
Sara D. Roosevelt Park in the Pit,POINT (-73.99292213087834 40.7189349713184),Helmet Fitting,7/8/2018,-73.9929221309,40.7189349713
Staten Island Yankees,POINT (-74.07700238079316 40.64467429572765),Stadium Events,7/9/2018,-74.0770023808,40.6446742957
VZ Street Teams,POINT (-73.88596442555573 40.83677071022531),Street Teams,7/14/2018,-73.8859644256,40.8367707102
VZ Street Teams in Staten Island,POINT (-74.0657054391272 40.589697604933846),Street Teams,7/28/2018,-74.0657054391,40.5896976049
WFAN& Yankees Radio Fan Fest,POINT (-73.9287167989268 40.82973193232707),Other DWI,7/22/2018,-73.9287167989,40.8297319323
Bike Bonanza @ PS/MS 124,POINT (-73.81170110087851 40.6650577161054),Helmet Fitting,06/02/2018,-73.8117011009,40.6650577161
Citifield,POINT (-73.84539790533192 40.75470261558887),Stadium Events,06/08/2018,-73.8453979053,40.7547026156
DOT VZ Helmet Fitting & Distribution,POINT (-73.94983283746448 40.70187653631213),Helmet Fitting,06/01/2018,-73.9498328375,40.7018765363
Rosedale Car Seats,POINT (-73.73664342768312 40.666785061789746),Car Seat Check,06/27/2018,-73.7366434277,40.6667850618
Staten Island Yankees,POINT (-74.07700238079316 40.64467429572765),Stadium Events,06/25/2018,-74.0770023808,40.6446742957
VZ Helmet Fitting Sonsored by CM Andrew Cohen,POINT (-73.90250567556994 40.912827612995834),Helmet Fitting,06/10/2018,-73.9025056756,40.912827613
DOT VZ Bike Helmet Fitting & Distribution,POINT (-73.86813694616451 40.86789863050608),Helmet Fitting,06/16/2018,-73.8681369462,40.8678986305
VS Street Teams,POINT (-73.92011529911777 40.66837626617736),Street Teams,06/30/2018,-73.9201152991,40.6683762662
VZ Helmet Fitting Sponsored by Council Speaker Corey Johnson,POINT (-73.99931803368453 40.733932538200094),Helmet Fitting,06/09/2018,-73.9993180337,40.7339325382
VZ Street Team with 114 pct.,POINT (-73.91725948418943 40.770773014531606),Street Teams,06/23/2018,-73.9172594842,40.7707730145
VZ STreet Teams,POINT (-73.74273455265126 40.695956691272045),Street Teams,06/02/2018,-73.7427345527,40.6959566913
,POINT (-73.99236271571145 40.689689466781836),Street Teams,06/09/2018,-73.9923627157,40.6896894668
VZ Street Teams,POINT (-73.99778483293532 40.72423529650149),Street Teams,06/16/2018,-73.9977848329,40.7242352965
DOT VZ Helmet Fitting @ PS 226,POINT (-73.91620201783043 40.856572256741806),Helmet Fitting,05/23/2018,-73.9162020178,40.8565722567
IS 28,POINT (-74.08164270200194 40.620346770800175),Helmet Fitting,05/23/2018,-74.081642702,40.6203467708
IS 48,POINT (-74.09123739230229 40.60348376700797),Helmet Fitting,05/08/2018,-74.0912373923,40.603483767
Is 49 Berta A Dreyfus,POINT (-74.08164270200194 40.620346770800175),Helmet Fitting,05/22/2018,-74.081642702,40.6203467708
IS 50,POINT (-74.14496980439453 40.62259547233498),Helmet Fitting,05/02/2018,-74.1449698044,40.6225954723
IS 72,POINT (-74.1589878167704 40.59300446800243),Helmet Fitting,05/09/2018,-74.1589878168,40.593004468
IS 80,POINT (-74.10206680719473 40.60851136326576),Helmet Fitting,05/01/2018,-74.1020668072,40.6085113633
Nyc Lab High School For Collaborative Studies,POINT (-74.0021977184355 40.74212834952506),Helmet Fitting,05/09/2018,-74.0021977184,40.7421283495
VZ Tabling Event at the Staten Island Mall,POINT (-74.16905343302824 40.58230457169508),Street Teams,05/19/2018,-74.169053433,40.5823045717
Bike Bell and LIght Giveaway,POINT (-74.00801957039307 40.75015648284767),Other Bike Safety,05/08/2018,-74.0080195704,40.7501564828
DOT VZ Helmet Fitting @ Dennty Farrell Riverbank State Park,POINT (-73.95196061927697 40.82711726515019),Helmet Fitting,05/01/2018,-73.9519606193,40.8271172652
DOT VZ Helmet Fitting @ Gravesend Park,POINT (-73.98543575279261 40.623836021219425),Helmet Fitting,05/06/2018,-73.9854357528,40.6238360212
International High School At Laguardia Community College,POINT (-73.93364034718022 40.744412098840534),Bike to School,05/29/2018,-73.9336403472,40.7444120988
NYC Baby Shower,POINT (-73.76840478424539 40.68633586468463),Safety Shower,05/12/2018,-73.7684047842,40.6863358647
Phil Rizzuto Park,POINT (-73.82189719672165 40.6938694306563),Helmet Fitting,05/05/2018,-73.8218971967,40.6938694307
VZ Street Teams,POINT (-73.92615346227423 40.86352863719598),Street Teams,05/12/2018,-73.9261534623,40.8635286372
VZ Street Teams,POINT (-74.16905343302824 40.58230457169508),Street Teams,05/19/2018,-74.169053433,40.5823045717
VZ Street Teams - 115th Precinct,POINT (-73.87214150315782 40.753964129510095),Street Teams,05/05/2018,-73.8721415032,40.7539641295
Barclay Center,POINT (-73.97569133352013 40.68345377842603),Stadium Events,04/05/2018,-73.9756913335,40.6834537784
City As School,POINT (-74.00614810618293 40.72941176504154),Helmet Fitting,04/18/2018,-74.0061481062,40.729411765
El Puente Academy For Peace And Justice,POINT (-73.95965536655973 40.71068560204063),Helmet Fitting,04/19/2018,-73.9596553666,40.710685602
Ps 26 Rufus King,POINT (-73.77798984928653 40.73692167027457),Safe Kids Day,04/29/2018,-73.7779898493,40.7369216703
Bike Bonanza & DOT Helmet Fitting & Distribution,POINT (-73.93286218476258 40.85050638219005),Helmet Fitting,04/21/2018,-73.9328621848,40.8505063822
Bronx Safety City,POINT (-73.83881253024961 40.824058557225875),Car Seat Check,04/21/2018,-73.8388125302,40.8240585572
VZ Street Teams,POINT (-73.8971421818763 40.86244422304833),DWI,04/21/2018,-73.8971421819,40.862444223
Access Safety City,POINT (-73.94788132138288 40.836131876616456),Car Seat Check,03/17/2018,-73.9478813214,40.8361318766
Barclays,POINT (-73.97569133352013 40.68345377842603),Stadium Events,03/13/2018,-73.9756913335,40.6834537784
Barclay's Center,POINT (-73.97569133352013 40.68345377842603),Stadium Events,03/25/2018,-73.9756913335,40.6834537784
George Washington Carver High School For The Sciences,POINT (-73.7568387195815 40.66823485302633),"DWI – Dangers, Decisions",03/15/2018,-73.7568387196,40.668234853
NYCDOH/ Family Wellness Suite,POINT (-73.91141455724502 40.664826385567274),Training,03/07/2018,-73.9114145572,40.6648263856
Williamsbridge Oval Park,POINT (-73.87890315410093 40.87635311639935),Helmet Fitting,03/31/2018,-73.8789031541,40.8763531164
Barclays,POINT (-73.97569133352013 40.68345377842603),Stadium Events,02/02/2018,-73.9756913335,40.6834537784
Bellevue Hospital Center,POINT (-73.97686183398184 40.739172693304035),Parent Workshop,02/26/2018,-73.976861834,40.7391726933
DOH/Family Wellness Suite Coordinator,POINT (-73.9416991606225 40.79775498623477),Training,02/14/2018,-73.9416991606,40.7977549862
St Gabriel's Church Boy Scouts Pack & Troop 933,POINT (-73.94921714272645 40.6579187162733),Helmet Fitting,02/09/2018,-73.9492171427,40.6579187163
Barclay Center,POINT (-73.97569133352013 40.68345377842603),"DWI – Dangers, Decisions",01/16/2018,-73.9756913335,40.6834537784
Barclay Center,POINT (-73.97569133352013 40.68345377842603),DWI,12/14/2017,-73.9756913335,40.6834537784
Uber,POINT (-73.93565178599825 40.74306007802392),UBER,12/05/2017,-73.935651786,40.743060078
Gateway Mall,POINT (-73.92663164968482 40.826607138543274),DWI,12/02/2017,-73.9266316497,40.8266071385
Access Safety City,POINT (-73.94788132138288 40.836131876616456),Car Seat Check,11/19/2017,-73.9478813214,40.8361318766
BARCLAYS CENTER,POINT (-73.97569133352013 40.68345377842603),Stadium Events,11/14/2017,-73.9756913335,40.6834537784
UBER,POINT (-73.93565178599825 40.74306007802392),UBER,11/30/2017,-73.935651786,40.743060078
NYC MARATHON EXPO,POINT (-74.00270716527932 40.75727385730307),Other Special Event,11/02/2017,-74.0027071653,40.7572738573
Access Safety City,POINT (-73.94788132138288 40.836131876616456),Car Seat Check,10/21/2017,-73.9478813214,40.8361318766
IS 192,POINT (-73.81841660838568 40.826525940770736),Helmet Fitting,10/28/2017,-73.8184166084,40.8265259408
Wycoff Av & Myrtle,POINT (-73.89372878667777 40.70444044815662),Street Teams,10/28/2017,-73.8937287867,40.7044404482
Annual Tour De Bronx,POINT (-73.92078546605194 40.829507179485304),Helmet Fitting,10/25/2017,-73.9207854661,40.8295071795
Fall Festival @ Kaiser PK,POINT (-73.99580977303805 40.577759958959454),Helmet Fitting,10/21/2017,-73.995809773,40.577759959
Dusk to Dawn,POINT (-73.99030330396376 40.69276070880161),Other Special Event,10/26/2017,-73.990303304,40.6927607088
Williamsbridge Oval Park,POINT (-73.87890315410093 40.87635311639935),Helmet Fitting,09/23/2017,-73.8789031541,40.8763531164
People Pk,POINT (-73.91713946437456 40.80920192685609),Helmet Fitting,09/16/2017,-73.9171394644,40.8092019269
Access Safety City,POINT (-73.94788132138288 40.836131876616456),Car Seat Check,09/16/2017,-73.9478813214,40.8361318766
CM Cumbo,POINT (-73.96451201777558 40.6806017989811),Helmet Fitting,09/09/2017,-73.9645120178,40.680601799
Gravesend Park,POINT (-73.98408857480081 40.623435103099354),Helmet Fitting,09/17/2017,-73.9840885748,40.6234351031
Boardwalk and Beach,POINT (-74.10565775270099 40.57452747520939),Street Teams,07/29/2017,-74.1056577527,40.5745274752
Nostrand Ave and merchants association,POINT (-73.95049901342573 40.65955790940721),Helmet Fitting,07/22/2017,-73.9504990134,40.6595579094
Irwin St & Orential Blvd,POINT (-73.9435362000617 40.577908103036876),Street Teams,07/22/2017,-73.9435362001,40.577908103
Junction Playground,POINT (-73.87269170151221 40.75502970200274),Helmet Fitting,07/18/2017,-73.8726917015,40.755029702
Access Safety  City,POINT (-73.94788132138288 40.836131876616456),Car Seat Check,07/15/2017,-73.9478813214,40.8361318766
Bergen Beach Youth Org,POINT (-73.89504668704069 40.60729830882129),Helmet Fitting,07/15/2017,-73.895046687,40.6072983088
47 PCT,POINT (-73.8472703495287 40.88730533837241),Street Teams,07/08/2017,-73.8472703495,40.8873053384
Staten Island Yankees,POINT (-74.07700238079316 40.64467429572765),DWI,8/25/2017,-74.0770023808,40.6446742957
National Night Out - Action 84,POINT (-73.99592462127534 40.70143725538587),Helmets,8/1/2017,-73.9959246213,40.7014372554
NYPD National Nigh Out Against Crime,POINT (-73.93245332502539 40.86158650507856),,8/1/2017,-73.932453325,40.8615865051
"VZ DWI ""Your Choice Matters"" at SI Yankees",POINT (-74.07700238079316 40.64467429572765),DWI,8/21/2017,-74.0770023808,40.6446742957
Staten Island University in the Main Oval,POINT (-74.08693008736724 40.58395236167816),Helmets,8/24/2017,-74.0869300874,40.5839523617
Access Safety City,POINT (-73.94788132138288 40.836131876616456),car seats,8/26/2017,-73.9478813214,40.8361318766
"DWI ""Your Choices Matter"" at Yankees",POINT (-74.07700238079316 40.64467429572765),DWI,8/31/2017,-74.0770023808,40.6446742957
"VZ ""Your choices Matter"" NY Mets",POINT (-73.84539790533192 40.75470261558887),DWI,8/16/2017,-73.8453979053,40.7547026156
"VZ ""Your choices Matter"" NY Mets",POINT (-73.84539790533192 40.75470261558887),DWI,8/17/2017,-73.8453979053,40.7547026156
Summer Streets,POINT (-73.98587929989924 40.74085394021333),Helmets,8/5/2017,-73.9858792999,40.7408539402
Hand Cyclist,POINT (-74.00353876965862 40.715828065993485),Helmets,8/5/2017,-74.0035387697,40.715828066
Safe Kids,POINT (-73.97352371561585 40.75780881633818),Safe Kids,8/5/2017,-73.9735237156,40.7578088163
VZ Your Choices Matter Campaign at Yankees Fan Fest,POINT (-73.92787966923429 40.82862529129011),DWI,8/12/2017,-73.9278796692,40.8286252913
Summer Streets,POINT (-73.98587929989924 40.74085394021333),Helmets,8/12/2017,-73.9858792999,40.7408539402
Hand Cyclist,POINT (-74.00353876965862 40.715828065993485),Helmets,8/12/2017,-74.0035387697,40.715828066
Safe Kids,POINT (-73.97352371561585 40.75780881633818),Safe Kids,8/12/2017,-73.9735237156,40.7578088163
Summer Streets,POINT (-73.98587929989924 40.74085394021333),Helmets,8/19/2017,-73.9858792999,40.7408539402
Hand Cyclist,POINT (-74.00353876965862 40.715828065993485),Helmets,8/19/2017,-74.0035387697,40.715828066
Safe Kids,POINT (-73.97352371561585 40.75780881633818),Safe Kids,8/12/2017,-73.9735237156,40.7578088163
VZ Table Seminar,POINT (-73.9717827280049 40.794651010053975),Street Teams,8/26/2017,-73.971782728,40.7946510101
Helmet Event,POINT (-73.94882027109416 40.61147672857935),Helmets,8/27/2017,-73.9488202711,40.6114767286
Citifield,POINT (-73.84539787326065 40.754702657869636),NA,6/14/2017,-73.8453978733,40.7547026579
Coll. of MT. St. Vincent,POINT (-73.90250564345871 40.91282765529135),Helmet Fitting,6/11/2017,-73.9025056435,40.9128276553
18 Precient,POINT (-73.98483447282227 40.76501585378288),Street Teams,6/10/2017,-73.9848344728,40.7650158538
MS 117,POINT (-73.90842648905233 40.848516171276366),Helmet Fitting,6/1/2017,-73.9084264891,40.8485161713
Roosevelt Islasnd,POINT (-73.94984191320994 40.761673815221194),Helmet Fitting,6/17/2017,-73.9498419132,40.7616738152
Bedford Stuyvesant Restoration Corp,POINT (-73.94571736522852 40.68017455924891),Helmet Fitting,6/25/2017,-73.9457173652,40.6801745592
Bike Helmet Fitting,POINT (-73.95796305244238 40.620099129159),Helmet Fitting,6/4/2017,-73.9579630524,40.6200991292
Vision Zero,POINT (-73.84733500857698 40.7221194947869),Street Teams,6/3/2017,-73.8473350086,40.7221194948
St. Mary's Playgound,POINT (-73.91371365237619 40.81295423736197),Helmet Fitting,6/24/2017,-73.9137136524,40.8129542374
Dag Hammarskjold Plaza,POINT (-73.96988739933745 40.75299917077321),Helmet Fitting,6/27/2017,-73.9698873993,40.7529991708
Schools Out Festival,POINT (-73.79319620596902 40.66705712172663),Helmet Fitting,6/29/2017,-73.793196206,40.6670571217
CM Mark Levine,POINT (-73.95189913873563 40.82714747365287),Helmet Fitting,05/20/2017,-73.9518991387,40.8271474737
121 Pct,POINT (-74.1491326325151 40.62359478463027),Street Teams,05/20/2017,-74.1491326325,40.6235947846
Central Library,POINT (-73.96906921390477 40.67283270030587),Helmet Fitting,05/16/2017,-73.9690692139,40.6728327003
National Bike to work Week,POINT (-73.97851339785112 40.753868442709894),Helmet Fitting,05/03/2017,-73.9785133979,40.7538684427
Access Safety City,POINT (-73.94788128933752 40.836131918925226),Car Seats,05/20/2017,-73.9478812893,40.8361319189
Staten Island Mall,POINT (-74.1690534012449 40.58230461406653),Street Teams,05/02/2017,-74.1690534012,40.5823046141
CM Stephen Levin,POINT (-73.95003771740632 40.70276048152203),Helmet Fitting,05/19/2017,-73.9500377174,40.7027604815
Access Safety City,POINT (-73.94788128933752 40.836131918925226),Car Seat Check,04/15/2017,-73.9478812893,40.8361319189
CM Ben Kallos,POINT (-73.9598677562524 40.765256888412715),Helmet Fitting,04/01/2017,-73.9598677563,40.7652568884
CM Andrew Cohen,POINT (-73.87890312199228 40.876353158688616),Helmet Fitting,04/15/2017,-73.878903122,40.8763531587
CM Ydanis Rodriguez,POINT (-73.93286215270074 40.85050642449449),Helmet Fitting,04/22/2017,-73.9328621527,40.8505064245
NYPD pct's 32 and 33,POINT (-73.93845072190415 40.84619211932611),Street Teams,04/22/2017,-73.9384507219,40.8461921193
Bike Bonanza,POINT (-73.85286898623679 40.83985127660923),Helmet Fitting,04/08/2017,-73.8528689862,40.8398512766
Barclay,POINT (-73.97569130156579 40.68345382074342),Other DWI,3/13/2017,-73.9756913016,40.6834538207
Uber,POINT (-73.93565175398989 40.74306012032986),NA,3/7/2017,-73.935651754,40.7430601203
Uber,POINT (-73.93565175398989 40.74306012032986),NA,3/9/2017,-73.935651754,40.7430601203
Uber,POINT (-73.93565175398989 40.74306012032986),NA,3/14/2017,-73.935651754,40.7430601203
Uber,POINT (-73.93565175398989 40.74306012032986),NA,3/16/2017,-73.935651754,40.7430601203
Uber,POINT (-73.93565175398989 40.74306012032986),NA,3/21/2017,-73.935651754,40.7430601203
Uber,POINT (-73.93565175398989 40.74306012032986),NA,3/23/2017,-73.935651754,40.7430601203
Barclays,POINT (-73.97569130156579 40.68345382074342),NA,3/12/2017,-73.9756913016,40.6834538207
Uber,POINT (-73.93565175398989 40.74306012032986),NA,3/2/2017,-73.935651754,40.7430601203
Uber,POINT (-73.93565175398989 40.74306012032986),NA,02/16/2017,-73.935651754,40.7430601203
Uber,POINT (-73.93565175398989 40.74306012032986),NA,02/14/2017,-73.935651754,40.7430601203
Pathways to Graduation,POINT (-73.94913830890027 40.69509395293502),NA,02/17/2017,-73.9491383089,40.6950939529
Barclays,POINT (-73.97569130156579 40.68345382074342),NA,02/10/2017,-73.9756913016,40.6834538207
Barclays,POINT (-73.97569130156579 40.68345382074342),NA,02/08/2017,-73.9756913016,40.6834538207
Barclays Center,POINT (-73.97569130156579 40.68345382074342),NA,02/06/2017,-73.9756913016,40.6834538207
Uber,POINT (-73.93565175398989 40.74306012032986),NA,02/02/2017,-73.935651754,40.7430601203
Barclays,POINT (-73.97569130156579 40.68345382074342),NA,02/01/2017,-73.9756913016,40.6834538207
Uber,POINT (-73.93565175398989 40.74306012032986),NA,02/07/2017,-73.935651754,40.7430601203
Uber,POINT (-73.93565175398989 40.74306012032986),NA,02/21/2017,-73.935651754,40.7430601203
Uber,POINT (-73.93565175398989 40.74306012032986),NA,02/23/2017,-73.935651754,40.7430601203
Access Safety City,POINT (-73.94787767551404 40.83613191729212),Car Seat Check,10/18/2014,-73.9478776755,40.8361319173
Street Teams,POINT (-73.85736204742078 40.89341149928695),NA,10/18/2014,-73.8573620474,40.8934114993
Street Teams,POINT (-74.10976188261704 40.57046684538589),NA,10/11/2014,-74.1097618826,40.5704668454
Street Teams,POINT (-73.86649084813732 40.87739342907205),NA,10/18/2014,-73.8664908481,40.8773934291
Street Teams,POINT (-73.75527430805849 40.605334544034655),NA,10/25/2014,-73.7552743081,40.605334544
Turtle Circle Parking Lot,POINT (-74.08793799336092 40.572928502241524),Helmets,10/25/2014,-74.0879379934,40.5729285022
Tour de Bronx,POINT (-73.92267837054267 40.826848877175564),Helmets,10/26/2014,-73.9226783705,40.8268488772
Governor's Island,POINT (-74.01893881259922 40.69067639313132),Helmet Fitting,5/24/2014,-74.0189388126,40.6906763931
Central Park,POINT (-73.97134186774048 40.77231353398641),Helmet Fitting,6/21/2014,-73.9713418677,40.772313534
Street Teams,POINT (-73.94502507335046 40.6889931839988),NA,8/23/2014,-73.9450250734,40.688993184
Street Teams,POINT (-73.73478814279261 40.72632884358611),Street teams,7/26/2014,-73.7347881428,40.7263288436
Street Teams,POINT (-73.87003986060897 40.82290406804606),NA,7/19/2014,-73.8700398606,40.822904068
Street Teams,POINT (-73.95628301324504 40.814795242827316),NA,6/21/2014,-73.9562830132,40.8147952428
Street Teams,POINT (-73.8315694776589 40.69931045030052),NA,6/14/2014,-73.8315694777,40.6993104503
Street Teams,POINT (-73.95039917125632 40.70654017996581),NA,5/24/2014,-73.9503991713,40.70654018
Street Teams,POINT (-73.97114179134583 40.756811944376366),NA,5/17/2014,-73.9711417913,40.7568119444
Street Teams,POINT (-74.10588773843851 40.57429948643805),NA,5/10/2014,-74.1058877384,40.5742994864
Street Teams,POINT (-73.87000409592176 40.74503585038517),NA,5/3/2014,-73.8700040959,40.7450358504
Street Teams,POINT (-73.90057542537012 40.853590122031896),NA,5/3/2014,-73.9005754254,40.853590122
DWI SI Yankees,POINT (-74.07700234892165 40.64467433807335),Other DWI,8/29/2014,-74.0770023489,40.6446743381
DWI SI Yankees,POINT (-74.07702035668062 40.644666090773505),Other DWI,7/19/2014,-74.0770203567,40.6446660908
DWI SI Yankees,POINT (-74.07701678807938 40.64469628664513),Other DWI,6/15/2014,-74.0770167881,40.6446962866
DWI Campaign,POINT (-73.98587831954687 40.57506930230919),Other DWI,8/4/2014,-73.9858783195,40.5750693023
DWI Campaign,POINT (-73.89438155974173 40.866070263688265),Other DWI,6/20/2014,-73.8943815597,40.8660702637
DWI Campaign,POINT (-73.90733114000821 40.85381532231401),Other DWI,6/13/2014,-73.90733114,40.8538153223
Billy's Sports Bar,POINT (-73.92624790145106 40.827243709791034),Other DWI,8/24/2014,-73.9262479015,40.8272437098
Billy's Sports Bar,POINT (-73.92624790145106 40.827243709791034),Other DWI,7/24/2014,-73.9262479015,40.8272437098
PS 279-CAPT MANUEL RIVERA JR SCHOOL,POINT (-73.90556624563987 40.85443144915479),Helmet Fitting,6/9/2014,-73.9055662456,40.8544314492
Playground 174,POINT (-73.87925408012664 40.83442542692347),Helmet Fitting,6/29/2014,-73.8792540801,40.8344254269
Northern Playground,POINT (-73.87466005607045 40.75664638610161),Helmet Fitting,6/22/2014,-73.8746600561,40.7566463861
PS 9 TEUNIS G BERGEN SCHOOL,POINT (-73.9655407172661 40.67829654426422),Helmet Fitting,6/14/2014,-73.9655407173,40.6782965443
Albee Square Mall,POINT (-73.98295850854755 40.6896994797974),Helmet Fitting,6/13/2014,-73.9829585085,40.6896994798
PS 279-CAPT MANUEL RIVERA JR SCHOOL,POINT (-73.90556624563987 40.85443144915479),Helmet Fitting,6/9/2014,-73.9055662456,40.8544314492
Friends Field,POINT (-73.97186409120657 40.61915092914237),Helmet Fitting,6/1/2014,-73.9718640912,40.6191509291
RXR Realty,POINT (-73.97851339785112 40.753868442709894),Helmet Fitting,4/23/2014,-73.9785133979,40.7538684427
Story Avenue Park,POINT (-73.8635059753578 40.82357172058985),Helmet Fitting,5/31/2014,-73.8635059754,40.8235717206
Summer Streets,POINT (-73.98587926792382 40.74085398253324),Helmet Fitting,8/16/2014,-73.9858792679,40.7408539825
