Site_Serve,the_geom,Activity,Event_Date,LONG,LAT
Summer Streets,POINT (-73.98587926792382 40.74085398253324),Helmet Fitting,8/9/2014,-73.9858792679,40.7408539825
National Night Out,POINT (-73.9904872214549 40.692475311078354),Helmet Fitting,8/5/2014,-73.9904872215,40.6924753111
Summer Streets,POINT (-73.98587926792382 40.74085398253324),Helmet Fitting,8/2/2014,-73.9858792679,40.7408539825
Von King Park,POINT (-73.94677776286628 40.69038309043025),Helmet Fitting,7/19/2014,-73.9467777629,40.6903830904
Bike Bonanza in Far Rockaway,POINT (-73.78784016821174 40.59209794357891),Helmet Fitting,7/12/2014,-73.7878401682,40.5920979436
Staten Island Yankees,POINT (-74.07700234892165 40.64467433807335),other DWI,8/29/2014,-74.0770023489,40.6446743381
Brooklyn Cyclones,POINT (-74.00823091224994 40.708266049780214),other DWI,8/27/2014,-74.0082309122,40.7082660498
Access Safety City,POINT (-73.94787767551404 40.83613191729212),Car Seat Check,8/23/2014,-73.9478776755,40.8361319173
Northern Playground,POINT (-73.87466005607045 40.75664638610161),Helmet Fitting,6/22/2014,-73.8746600561,40.7566463861
"Central Park ""The Adventurer""",POINT (-73.97134186774048 40.77231353398641),Helmet Fitting,6/21/2014,-73.9713418677,40.772313534
McDonald Park,POINT (-73.84792540949711 40.72266922839542),Helmet Fitting,5/18/2014,-73.8479254095,40.7226692284
Sara Roosevelt Park,POINT (-73.99164822545357 40.72240155901839),Helmet Fitting,5/17/2014,-73.9916482255,40.722401559
Central Branch Public Library,POINT (-73.96906921263185 40.672835445075805),Helmet Fitting,5/13/2014,-73.9690692126,40.6728354451
Kensington Branch Public Library,POINT (-73.97556972148665 40.631492353653954),Helmet Fitting,5/8/2014,-73.9755697215,40.6314923537
Baisley Pond Park,POINT (-73.78697083576013 40.66708418902966),Helmet Fitting,5/3/2014,-73.7869708358,40.667084189
Tribeca Whole Foods,POINT (-74.01121861052339 40.715311601201584),Helmet Fitting,5/2/2014,-74.0112186105,40.7153116012
St. Mary's Park,POINT (-73.91427486661753 40.811972045422756),Helmet Fitting,4/27/2014,-73.9142748666,40.8119720454
Brooklyn North YMCA,POINT (-73.88271544883638 40.68511484465243),Helmet Fitting,4/26/2014,-73.8827154488,40.6851148447
Anne Loftus Playground,POINT (-73.9324532929579 40.86158654738281),Helmet Fitting,4/19/2014,-73.932453293,40.8615865474
Thomas Greene Park,POINT (-73.98653383389325 40.6803732206864),Helmet Fitting,4/12/2014,-73.9865338339,40.6803732207
Pratt Institute,POINT (-73.96395777405799 40.69205560013176),Helmet Fitting,4/3/2014,-73.9639577741,40.6920556001
Access Safety City,POINT (-73.94787767551404 40.83613191729212),Car Seat Check,7/19/2014,-73.9478776755,40.8361319173
BK Bergen Beach Sports Complex,POINT (-73.89928354875498 40.61817976710198),NA,8/12/2014,-73.8992835488,40.6181797671
Summer Streets,POINT (-73.97352368362446 40.757808858654556),Safety Zone,8/16/2014,-73.9735236836,40.7578088587
Summer Streets,POINT (-73.97352368362446 40.757808858654556),Safety Zone Event,8/9/2014,-73.9735236836,40.7578088587
Summer Streets,POINT (-73.97352368362446 40.757808858654556),Safety Zone Event,8/2/2014,-73.9735236836,40.7578088587
Atlantic Antics,POINT (-73.9826601592185 40.68608731716385),Helmet Fitting,9/28/2014,-73.9826601592,40.6860873172
Roy Wilkens Park,POINT (-73.76845541413604 40.68628385726623),Helmet Fitting,9/27/2014,-73.7684554141,40.6862838573
Bike Bonanza in Rainey Park,POINT (-73.94027250527647 40.76553110505373),Helmet Fitting,9/20/2014,-73.9402725053,40.7655311051
Bike Bonanza in Travers Park,POINT (-73.88875647714339 40.753339144886546),Helmet Fitting,9/13/2014,-73.8887564771,40.7533391449
CM Helen Rosenthal District Office,POINT (-73.97154023379584 40.78734177348188),Helmet Fitting,9/6/2014,-73.9715402338,40.7873417735
Vision Zero / Street teams,POINT (-73.93542465328034 40.85077412317802),NA,9/20/2014,-73.9354246533,40.8507741232
Street Teams,POINT (-73.91169632327805 40.82226280229817),NA,9/6/2014,-73.9116963233,40.8222628023
Street Teams,POINT (-73.90393859904898 40.880134196223906),NA,9/6/2014,-73.903938599,40.8801341962
WFAN YANKEE RADIO,POINT (-74.0072952272864 40.727539816072664),Community Fair,9/20/2014,-74.0072952273,40.7275398161
DWI Campaign,POINT (-73.87240399770963 40.754464007100346),Other DWI,9/3/2014,-73.8724039977,40.7544640071
Mets Jam @ Brooklyn Bridge Park,POINT (-73.99919580211059 40.69399904770552),Other DWI,9/6/2014,-73.9991958021,40.6939990477
Yankees Fan Fest @ Intrepid Museum,POINT (-74.00079055131131 40.76498665711432),Other DWI,9/20/2014,-74.0007905513,40.7649866571
PS 33 TIMOTHY DWIGHT SCHOOL,POINT (-73.90175971833244 40.86184994502399),Helmet Fitting,4/30/2015,-73.9017597183,40.861849945
First Baptist Church FCU,POINT (-73.93038504551883 40.77211842313069),Helmet Fitting,4/25/2015,-73.9303850455,40.7721184231
Queensbridge Houses,POINT (-73.94532753197956 40.75548785191541),Helmet Fitting,4/18/2015,-73.945327532,40.7554878519
Access Safety city,POINT (-73.94787767551404 40.83613191729212),car seats,4/18/2015,-73.9478776755,40.8361319173
Sara Roosevelt  Park,POINT (-73.99335859049533 40.719069533493986),Helmet Fitting,4/11/2015,-73.9933585905,40.7190695335
Street Teams,POINT (-73.99045458871653 40.693721432699135),NA,4/25/2015,-73.9904545887,40.6937214327
Street Teams,POINT (-73.91870117801648 40.743156447566655),NA,4/18/2015,-73.918701178,40.7431564476
Access Safety City,POINT (-73.94787767551404 40.83613191729212),Car Seat Check,5/16/2015,-73.9478776755,40.8361319173
NA,POINT (-73.98496370628436 40.624321830656655),Helmet Fitting,5/31/2015,-73.9849637063,40.6243218307
St. Mary's Playground,POINT (-73.91409742848593 40.81230128034509),Helmet Fitting,5/30/2015,-73.9140974285,40.8123012803
121 precinct,POINT (-74.14876856162897 40.625104893008064),NA,5/16/2015,-74.1487685616,40.625104893
105 precinct,POINT (-73.7353099257523 40.71849646887023),NA,5/30/2015,-73.7353099258,40.7184964689
St. Mary's Playground,POINT (-73.91409742848593 40.81230128034509),Helmet Fitting,5/30/2015,-73.9140974285,40.8123012803
IS 61 LEONARDO DA VINCI INTERMEDIATE SCHOOL,POINT (-73.86330723900721 40.74266760849045),Helmet Fitting,5/23/2015,-73.863307239,40.7426676085
Thomas Jefferson Recreation Center,POINT (-73.93718117595122 40.79356145316587),Helmet Fitting,5/16/2015,-73.937181176,40.7935614532
Story Avenue Playground,POINT (-73.8635059753578 40.82357172058985),Helmet Fitting,5/9/2015,-73.8635059754,40.8235717206
Street Teams,POINT (-73.95092868589244 40.785866408562576),NA,5/2/2015,-73.9509286859,40.7858664086
Brooklyn Public Library,POINT (-73.96906921263185 40.672835445075805),Helmet Fitting,5/7/2015,-73.9690692126,40.6728354451
Street Teams,POINT (-73.95558403595967 40.77949776761449),NA,5/9/2015,-73.955584036,40.7794977676
Street Teams,POINT (-73.90418126009332 40.81212603690631),NA,5/30/2015,-73.9041812601,40.8121260369
PS 32 BELMONT SCHOOL,POINT (-73.88593449286955 40.85210266784935),Helmet Fitting,6/23/2015,-73.8859344929,40.8521026678
Castle Hill Park,POINT (-73.85286898623679 40.83985127660923),Helmet Fitting,6/20/2015,-73.8528689862,40.8398512766
Riverbank State Park,POINT (-73.95189913873563 40.82714747365287),Helmet Fitting,6/13/2015,-73.9518991387,40.8271474737
Bike Bonanza,POINT (-73.92188188845759 40.86510132296843),Helmet Fitting,6/13/2015,-73.9218818885,40.865101323
Friends Field,POINT (-73.9717527021293 40.618500385548636),Helmet Fitting,6/7/2015,-73.9717527021,40.6185003855
Socrates Sculpture Park,POINT (-73.93631393235381 40.767634202081354),Helmet Fitting,6/6/2015,-73.9363139324,40.7676342021
Street Teams,POINT (-74.02834991688351 40.6227987046361),Street Teams,6/6/2015,-74.0283499169,40.6227987046
Street Teams,POINT (-73.99995667905013 40.71801848149741),Street Teams,6/3/2015,-73.9999566791,40.7180184815
Street Teams,POINT (-73.86417051196128 40.73343527238935),Street Teams,6/20/2015,-73.864170512,40.7334352724
Street Teams,POINT (-73.91074118288225 40.669684166103906),Street Teams,6/27/2015,-73.9107411829,40.6696841661
Access Safety City,POINT (-73.94787767551404 40.83613191729212),Car Seats,6/20/2015,-73.9478776755,40.8361319173
Helmet Event @ Brower Park,POINT (-73.94454353504419 40.6740064913126),Helmet Fitting,,-73.944543535,40.6740064913
Street Teams,POINT (-73.90107870866323 40.86275511413898),Special Events,,-73.9010787087,40.8627551141
Street Teams,POINT (-73.94226227389123 40.806414925198666),Special Events,,-73.9422622739,40.8064149252
Street Teams,POINT (-74.06662417729504 40.5903421469337),Special Events,,-74.0666241773,40.5903421469
Bike Bonanza - Rockaway Freeway,POINT (-73.78784016821174 40.59209794357891),Helmet Fitting,,-73.7878401682,40.5920979436
Canarsie Pier - Bike Bonanza,POINT (-73.88635593824063 40.63082120874751),Helmet Fitting,,-73.8863559382,40.6308212087
Marcy Houses (NYCHA),POINT (-73.95114165631689 40.697403171579225),Helmet Fitting,,-73.9511416563,40.6974031716
Queensbridge Development,POINT (-73.94559092754272 40.75560325572687),Helmet Fitting,,-73.9455909275,40.7556032557
Safety Education,POINT (-73.94787767551404 40.83613191729212),Child Passenger Safety,,-73.9478776755,40.8361319173
Faber Pool/Park,POINT (-74.1357910847124 40.64025573385065),Helmet Fitting,8/22/2015,-74.1357910847,40.6402557339
NYCHA Sumner Houses,POINT (-73.94073639900222 40.69858127835494),Helmet Fitting,8/19/2015,-73.940736399,40.6985812784
ASC,POINT (-73.94787767551404 40.83613191729212),car seats,8/16/2015,-73.9478776755,40.8361319173
Summer Streets,POINT (-73.97352368362446 40.757808858654556),Helmet Fitting,8/15/2015,-73.9735236836,40.7578088587
Summer Streets,POINT (-73.97352368362446 40.757808858654556),,8/1/2015,-73.9735236836,40.7578088587
Summer Streets,POINT (-73.97352368362446 40.757808858654556),Helmet Fitting,8/8/2015,-73.9735236836,40.7578088587
Street Teams,POINT (-73.98120216104525 40.57556544172012),Special Events,8/8/2015,-73.981202161,40.5755654417
Street Teams,POINT (-73.99394727051646 40.75152352946722),Special Events,8/22/2015,-73.9939472705,40.7515235295
Street Teams,POINT (-73.98219705037066 40.77303286239847),Special Events,8/29/2015,-73.9821970504,40.7730328624
Summer Streets,POINT (-73.98587926792382 40.74085398253324),Helmet Fitting,8/15/2015,-73.9858792679,40.7408539825
Summer Streets,POINT (-73.98587926792382 40.74085398253324),Helmet Fitting,8/1/2015,-73.9858792679,40.7408539825
Summer Streets,POINT (-73.98587926792382 40.74085398253324),Helmet Fitting,8/8/2015,-73.9858792679,40.7408539825
Street Teams,POINT (-73.77919711402309 40.691651799195114),Special Events,8/1/2015,-73.779197114,40.6916517992
DWI Aviators,POINT (-73.89973423529423 40.5891154929961),Other DWI,9/5/2015,-73.8997342353,40.589115493
Brooklyn Cyclones,POINT (-73.98587831954687 40.57506930230919),Other DWI,9/6/2015,-73.9858783195,40.5750693023
Brooklyn Cyclones,POINT (-73.98587831954687 40.57506930230919),Other DWI,9/7/2015,-73.9858783195,40.5750693023
METS JAM,POINT (-73.99470906534658 40.70299352990719),Other DWI,9/12/2015,-73.9947090653,40.7029935299
Citi Field Subway Series,POINT (-73.84539787326065 40.754702657869636),Other DWI,9/18/2015,-73.8453978733,40.7547026579
DWI Aviators,POINT (-73.89973423529423 40.5891154929961),Other DWI,9/19/2015,-73.8997342353,40.589115493
Citi Field Subway Series,POINT (-73.84539787326065 40.754702657869636),Other DWI,9/19/2015,-73.8453978733,40.7547026579
Citi Field Subway Series,POINT (-73.84539787326065 40.754702657869636),Other DWI,9/20/2015,-73.8453978733,40.7547026579
Atlantic Antics,POINT (-73.9848305978311 40.68693026857443),Helmet Fitting,9/27/2015,-73.9848305978,40.6869302686
Marcy Playground,POINT (-73.94920661091906 40.695376694585875),Helmet Fitting,9/26/2015,-73.9492066109,40.6953766946
Access Safety City,POINT (-73.94787767551404 40.83613191729212),Car Seat Check,9/19/2015,-73.9478776755,40.8361319173
Sunken Playground,POINT (-73.93623204311264 40.8380775556238),Helmet Fitting,9/19/2015,-73.9362320431,40.8380775556
Bushwick Houses Community Center,POINT (-73.94076116484831 40.70317877504233),Helmet Fitting,9/16/2015,-73.9407611648,40.703178775
American Playground,POINT (-73.95772828929913 40.729154439205416),Helmet Fitting,9/12/2015,-73.9577282893,40.7291544392
Tour de Bronx,POINT (-73.92267837054267 40.826848877175564),Helmet Fitting,10/25/2015,-73.9226783705,40.8268488772
Access Safety City,POINT (-73.94787767551404 40.83613191729212),Car Seat Training,10/17/2015,-73.9478776755,40.8361319173
Freshkills Park and New Springville Greenway,POINT (-74.16823433706101 40.58729038472494),Helmet Fitting,10/4/2015,-74.1682343371,40.5872903847
Street Teams,POINT (-73.89404070190957 40.664751351835186),VZ Street Teams,10/3/2015,-73.8940407019,40.6647513518
Street Teams,POINT (-73.8673608753866 40.86543029921456),VZ Street Teams,10/10/2015,-73.8673608754,40.8654302992
Street Teams,POINT (-73.90059440957906 40.712697388769314),VZ Street Teams,10/17/2015,-73.9005944096,40.7126973888
Street Teams,POINT (-74.11618784656463 40.62894122915922),VZ Street Teams,10/24/2015,-74.1161878466,40.6289412292
Street Teams,POINT (-73.84464017856607 40.680296571792496),VZ Street Teams,10/31/2015,-73.8446401786,40.6802965718
Floyd Bennett Field,POINT (-73.8997809794083 40.589156705723774),Aviator Sports Run,10/3/2015,-73.8997809794,40.5891567057
Floyd Bennett Field,POINT (-73.8997809794083 40.589156705723774),Aviator Sports Run,10/10/2015,-73.8997809794,40.5891567057
NYC DOT,POINT (-73.94787767551404 40.83613191729212),Car Seat Check,11/21/2015,-73.9478776755,40.8361319173
Barclays Center,POINT (-73.97607707983882 40.68350056262695),Other DWI,11/17/2015,-73.9760770798,40.6835005626
Barclays Center,POINT (-73.97607707983882 40.68350056262695),Other DWI,11/2/2015,-73.9760770798,40.6835005626
Street Teams,POINT (-73.95507641394093 40.820097577438375),STREET TEAMS,11/21/2015,-73.9550764139,40.8200975774
Street teams,POINT (-73.9917151781791 40.73521408462161),STREET TEAMS,11/14/2015,-73.9917151782,40.7352140846
NA,POINT (-73.929867774918 40.605071395123296),NA,11/7/2015,-73.9298677749,40.6050713951
Barclay,POINT (-73.97569130156579 40.68345382074342),,12/1/2015,-73.9756913016,40.6834538207
Barclay,POINT (-73.97569130156579 40.68345382074342),,12/6/2015,-73.9756913016,40.6834538207
Barclay,POINT (-73.97569130156579 40.68345382074342),,12/12/2015,-73.9756913016,40.6834538207
Barclay,POINT (-73.97569130156579 40.68345382074342),,12/16/2015,-73.9756913016,40.6834538207
Barclays,POINT (-73.97569130156579 40.68345382074342),NA,1/22/2016,-73.9756913016,40.6834538207
Barclays,POINT (-73.97569130156579 40.68345382074342),NA,1/8/2016,-73.9756913016,40.6834538207
Barclays Center,POINT (-73.97569130156579 40.68345382074342),NA,1/13/2016,-73.9756913016,40.6834538207
Fordham University,POINT (-73.88953486206836 40.860732773623226),NA,2/27/2016,-73.8895348621,40.8607327736
Manhattan College,POINT (-73.9020448723889 40.889154397431255),NA,2/26/2016,-73.9020448724,40.8891543974
Fordham University,POINT (-73.88953486206836 40.860732773623226),NA,2/10/2016,-73.8895348621,40.8607327736
Barclays,POINT (-73.97569130156579 40.68345382074342),NA,2/8/2016,-73.9756913016,40.6834538207
Babies R Us,POINT (-73.87034025618439 40.65019070651263),NA,2/11/2016,-73.8703402562,40.6501907065
8th Ave & West 23 ST  Street Teams,POINT (-73.99804762873809 40.74265538824078),Street Teams,4/30/2016,-73.9980476287,40.7426553882
Barclays,POINT (-73.97569130156579 40.68345382074342),NA,4/13/2016,-73.9756913016,40.6834538207
Barclays,POINT (-73.97569130156579 40.68345382074342),NA,4/11/2016,-73.9756913016,40.6834538207
IS 131,POINT (-73.85966167574777 40.82352593536174),Helmet Fitting,4/9/2016,-73.8596616757,40.8235259354
NA,POINT (-73.88122628749481 40.881485403852736),Helmet Fitting,4/2/2016,-73.8812262875,40.8814854039
St Cathrine Pk,POINT (-73.95822913254877 40.76476225249751),Helmet Fitting,5/14/2016,-73.9582291325,40.7647622525
Brooklyn Public Library,POINT (-73.96906921390477 40.67283270030587),Helmet Fitting,5/5/2016,-73.9690692139,40.6728327003
Brooklyn Public Lib. press Event,POINT (-73.96906921390477 40.67283270030587),Helmet Fitting,5/5/2016,-73.9690692139,40.6728327003
Barclays,POINT (-73.97569130156579 40.68345382074342),NA,3/26/2016,-73.9756913016,40.6834538207
BARCLAYS,POINT (-73.97569130156579 40.68345382074342),NA,3/22/2016,-73.9756913016,40.6834538207
University of Rhode Island,POINT (-73.88953486206836 40.860732773623226),,3/5/2016,-73.8895348621,40.8607327736
Access Safety City,POINT (-73.94787767551404 40.83613191729212),,3/19/2016,-73.9478776755,40.8361319173
Barclays,POINT (-73.97569130156579 40.68345382074342),NA,3/13/2016,-73.9756913016,40.6834538207
Brownsville Rec Center,POINT (-73.9029395022651 40.655413223420915),,3/19/2016,-73.9029395023,40.6554132234
PS 32 BELMONT SCHOOL,POINT (-73.88593449286955 40.85210266784935),Helmet Fitting,6/23/2015,-73.8859344929,40.8521026678
Riverbank State Park,POINT (-73.95189913873563 40.82714747365287),Helmet Fitting,6/13/2015,-73.9518991387,40.8271474737
Friends Field,POINT (-73.9717527021293 40.618500385548636),Helmet Fitting,6/7/2015,-73.9717527021,40.6185003855
Socrates Sculpture Park,POINT (-73.93631393235381 40.767634202081354),Helmet Fitting,6/6/2015,-73.9363139324,40.7676342021
Street Teams,POINT (-73.86417051196128 40.73343527238935),Street Teams,6/20/2015,-73.864170512,40.7334352724
Access Safety City,POINT (-73.94787767551404 40.83613191729212),Car Seats,6/20/2015,-73.9478776755,40.8361319173
121 PCT,POINT (-74.14925780001917 40.62318564767983),Street Teams,7/23/2016,-74.1492578,40.6231856477
ACCESS SAFETY CITY,POINT (-73.94787767551404 40.83613191729212),Car Seat Check,7/16/2016,-73.9478776755,40.8361319173
Staten Island Yankees,POINT (-74.07700234892165 40.64467433807335),DWI Campaign Event,7/8/2016,-74.0770023489,40.6446743381
Staten Island Yankees,POINT (-74.07700234892165 40.64467433807335),DWI Campaign Event,7/21/2016,-74.0770023489,40.6446743381
Staten Island Yankees,POINT (-74.07700234892165 40.64467433807335),DWI Campaign Event,7/29/2016,-74.0770023489,40.6446743381
Staten Island Yankees,POINT (-74.07700234892165 40.64467433807335),DWI Campaign Event,7/14/2016,-74.0770023489,40.6446743381
ACCESS - VR Queens District Office,POINT (-73.9501793226829 40.744925516783766),Community Fair,7/20/2016,-73.9501793227,40.7449255168
D.O.T. Employees Qns,POINT (-73.93820748066857 40.750079845257154),Helmet Fitting,7/19/2016,-73.9382074807,40.7500798453
New York Mets,POINT (-73.84539787326065 40.754702657869636),DWI Campaign Event,7/28/2016,-73.8453978733,40.7547026579
Thompson Sq PK,POINT (-73.97990753970015 40.7268658292396),Helmet Fitting,4/30/2016,-73.9799075397,40.7268658292
Counsel Member Helen Rosenthal,POINT (-73.97168114553021 40.78716340093213),Helmet Fitting,4/23/2016,-73.9716811455,40.7871634009
Street Teams,POINT (-73.99380958084126 40.60194983396585),Street Teams,4/16/2016,-73.9938095808,40.601949834
107 Pct,POINT (-73.79174397972854 40.72578994642736),Street Teams,5/14/2016,-73.7917439797,40.7257899464
Gravesend Pk,POINT (-73.98496370628436 40.624321830656655),Helmet Fitting,5/8/2016,-73.9849637063,40.6243218307
Castle Hill Park,POINT (-73.85286898623679 40.83985127660923),Helmet Fitting,6/20/2015,-73.8528689862,40.8398512766
Bike Bonanza,POINT (-73.92376631618558 40.864402685869536),Helmet Fitting,6/13/2015,-73.9237663162,40.8644026859
Street Teams,POINT (-74.02834991688351 40.6227987046361),Street Teams,6/6/2015,-74.0283499169,40.6227987046
Street Teams,POINT (-73.99995667905013 40.71801848149741),Street Teams,6/3/2015,-73.9999566791,40.7180184815
Street Teams,POINT (-73.91074118288225 40.669684166103906),Street Teams,6/27/2015,-73.9107411829,40.6696841661
Bike Bonanza,POINT (-73.78899498527518 40.59241023345102),Community Fair,7/17/2016,-73.7889949853,40.5924102335
18th PCT,POINT (-73.98151250116753 40.767889112245356),Street Teams,7/16/2016,-73.9815125012,40.7678891122
Harlem Week,POINT (-73.96301463078373 40.81262377941952),Community Fair,7/31/2016,-73.9630146308,40.8126237794
100 PCT,POINT (-73.81530335518461 40.583869775827054),Street Teams,7/9/2016,-73.8153033552,40.5838697758
109 PCT,POINT (-73.83430802861054 40.75829109691922),Street Teams,7/30/2016,-73.8343080286,40.7582910969
Bay Plaza Mall,POINT (-73.82712462841262 40.83071408429692),Street Teams,8/13/2016,-73.8271246284,40.8307140843
Summer Streets,POINT (-73.98587926792382 40.74085398253324),Helmet Fitting,8/13/2016,-73.9858792679,40.7408539825
Summer Streets - Hands Cyclist Station,POINT (-73.98587926792382 40.74085398253324),Other Special Event,8/13/2016,-73.9858792679,40.7408539825
Staten Island Yankees,POINT (-74.0964900045617 40.644761195271236),Other Special Event,8/8/2016,-74.0964900046,40.6447611953
Yankee Fest,POINT (-73.99730155927146 40.71932495554371),Other Special Event,8/20/2016,-73.9973015593,40.7193249555
Mets Jam,POINT (-73.98587831954687 40.57506930230919),Other Special Event,8/20/2016,-73.9858783195,40.5750693023
Summer Streets - Hands Cyclist Station,POINT (-73.98587926792382 40.74085398253324),Helmet Fitting,8/6/2016,-73.9858792679,40.7408539825
Summer Street,POINT (-73.98587926792382 40.74085398253324),Helmet Fitting,8/6/2016,-73.9858792679,40.7408539825
Citifield Mets,POINT (-73.84539787326065 40.754702657869636),Other Special Event,8/1/2016,-73.8453978733,40.7547026579
109th Precinct,POINT (-73.82743580292767 40.76228559627696),Street Teams,8/30/2016,-73.8274358029,40.7622855963
NY Mets,POINT (-73.84539787326065 40.754702657869636),Other Special Event,8/2/2016,-73.8453978733,40.7547026579
Staten Island Yankees,POINT (-74.0964900045617 40.644761195271236),Other Special Event,8/17/2016,-74.0964900046,40.6447611953
Staten Island Yankees,POINT (-74.0964900045617 40.644761195271236),Other Special Event,8/24/2016,-74.0964900046,40.6447611953
Brooklyn Cyclones,POINT (-73.98587831954687 40.57506930230919),Other Special Event,8/29/2016,-73.9858783195,40.5750693023
Staten Island Yankees,POINT (-74.0964900045617 40.644761195271236),Other Special Event,8/31/2016,-74.0964900046,40.6447611953
Summer Streets - Hands Cyclist Station,POINT (-73.98587926792382 40.74085398253324),Helmet Fitting,8/20/2016,-73.9858792679,40.7408539825
Summer Street,POINT (-73.98587926792382 40.74085398253324),Helmet Fitting,8/6/2016,-73.9858792679,40.7408539825
Safety Zone,POINT (-73.97352368362446 40.757808858654556),Other Special Event,8/6/2016,-73.9735236836,40.7578088587
Safety Zone,POINT (-73.97352368362446 40.757808858654556),Other Special Event,8/13/2016,-73.9735236836,40.7578088587
Safety Zone,POINT (-73.97352368362446 40.757808858654556),Other Special Event,8/20/2016,-73.9735236836,40.7578088587
National Night Out w/45th PCT,POINT (-73.8285822139428 40.86947155502631),Special Event,8/2/2016,-73.8285822139,40.869471555
115th Precinct Community Council,POINT (-73.875836225034 40.75657023523091),Community Fair,8/2/2016,-73.875836225,40.7565702352
Bike Safety,POINT (-73.85604053970033 40.75707144442907),Helmet Fitting,8/25/2016,-73.8560405397,40.7570714444
Bike Safety,POINT (-73.74196998287628 40.661483260511105),Helmet Fitting,8/27/2016,-73.7419699829,40.6614832605
70 Pct 154 Lawrence Ave Parade Grounds,POINT (-73.97370385089303 40.630591651347885),Street Teams,9/10/2016,-73.9737038509,40.6305916513
Woodhull Hospital,POINT (-73.94160383013772 40.70052776221567),Helmet Fitting,9/10/2016,-73.9416038301,40.7005277622
LaGuardia Community College,POINT (-73.93502202979168 40.744901494471065),Helmet Fitting,9/28/2016,-73.9350220298,40.7449014945
PS 57 & Frederick Douglass Academy,POINT (-73.88856123550434 40.84847124418872),Helmet Fitting,9/30/2016,-73.8885612355,40.8484712442
Access Safety City,POINT (-73.94788128933752 40.836131918925226),Car Seats,9/17/2016,-73.9478812893,40.8361319189
Detective Keith Williams Park,POINT (-73.78314065879427 40.702070232530716),Helmet Fitting,9/17/2016,-73.7831406588,40.7020702325
Gravesend Pk,POINT (-73.98496370628436 40.624321830656655),Helmet Fitting,9/11/2016,-73.9849637063,40.6243218307
Gravesend PK,POINT (-73.98496370628436 40.624321830656655),Other Bike  Safety,9/11/2016,-73.9849637063,40.6243218307
Kissena Park Velodrome,POINT (-73.81013310241947 40.742295789777835),Helmet Fitting,9/25/2016,-73.8101331024,40.7422957898
Access Safety City,POINT (-73.94788128933752 40.836131918925226),Car Seats,10/15/2016,-73.9478812893,40.8361319189
Harris Field,POINT (-73.89194968515866 40.87637708993648),Helmet Fitting,10/23/2016,-73.8919496852,40.8763770899
Mosholu Montefiore Community Center,POINT (-73.88122628749481 40.881485403852736),Helmet Fitting,10/22/2016,-73.8812262875,40.8814854039
PS 46 Ally Pond School Yard,POINT (-73.75875197686752 40.746201483796916),Helmet Fitting,10/02/2016,-73.7587519769,40.7462014838
Access Safety City,POINT (-73.94788128933752 40.836131918925226),Car Seats,10/15/2016,-73.9478812893,40.8361319189
Hunter College School Playground,POINT (-73.95432330527115 40.785601564457906),Helmet Fitting,10/29/2016,-73.9543233053,40.7856015645
Staten Island Mall,POINT (-74.1690534012449 40.58230461406653),Street Teams,10/29/2016,-74.1690534012,40.5823046141
Thomas Greene PK,POINT (-73.98413988465933 40.68024665539946),Helmet Fitting,10/15/2016,-73.9841398847,40.6802466554
Barclays,POINT (-73.97569130156579 40.68345382074342),NA,11/23/2016,-73.9756913016,40.6834538207
Access Safety City,POINT (-73.94788128933752 40.836131918925226),Car Seat Check,11/19/2016,-73.9478812893,40.8361319189
Barclays,POINT (-73.97569130156579 40.68345382074342),NA,11/18/2016,-73.9756913016,40.6834538207
Barclays,POINT (-73.97569130156579 40.68345382074342),NA,11/14/2016,-73.9756913016,40.6834538207
Barclays,POINT (-73.97569130156579 40.68345382074342),NA,11/29.2016,-73.9756913016,40.6834538207
DWI,POINT (-73.97569130156579 40.68345382074342),NA,12/14/2016,-73.9756913016,40.6834538207
Uber,POINT (-73.93565175398989 40.74306012032986),NA,1/19/2017,-73.935651754,40.7430601203
Uber,POINT (-73.93565175398989 40.74306012032986),NA,1/10/2017,-73.935651754,40.7430601203
Uber,POINT (-73.93565175398989 40.74306012032986),NA,1/31/2017,-73.935651754,40.7430601203
Uber,POINT (-73.93565175398989 40.74306012032986),NA,1/26/2017,-73.935651754,40.7430601203
Barclays,POINT (-73.97569130156579 40.68345382074342),NA,1/21/2017,-73.9756913016,40.6834538207
Barclays,POINT (-73.97569130156579 40.68345382074342),NA,1/11/2017,-73.9756913016,40.6834538207
Uber,POINT (-73.93565175398989 40.74306012032986),NA,1/12/2017,-73.935651754,40.7430601203
Uber,POINT (-73.93565175398989 40.74306012032986),NA,1/10/2017,-73.935651754,40.7430601203
Uber,POINT (-73.93565175398989 40.74306012032986),NA,1/5/2017,-73.935651754,40.7430601203
Barclays,POINT (-73.97569130156579 40.68345382074342),NA,1/22/2017,-73.9756913016,40.6834538207
Barclays,POINT (-73.97569130156579 40.68345382074342),NA,1/19/2017,-73.9756913016,40.6834538207
,POINT (-73.83881253024961 40.824058557225875),Car Seat Check,9/15/2018,-73.8388125302,40.8240585572
Bike Bonanza - Helmet Fitting & Distribution Event in Michael J. Petrides School,POINT (-74.10206680719473 40.60851136326576),Helmet Fitting,9/15/2018,-74.1020668072,40.6085113633
Central Park West,POINT (-73.9670986299348 40.77248329435638),Stadium Events,9/9/2018,-73.9670986299,40.7724832944
